Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Copilot.MAUI\Copilot.MAUI.csproj,File,Copilot.MAUI\Copilot.MAUI.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.6"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Copilot.MAUI\Copilot.MAUI.csproj,File,Copilot.MAUI\Copilot.MAUI.csproj,,,,,,,,Current target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0 Recommended target framework: net8.0-android;net8.0-ios;net8.0-maccatalyst;net8.0-windows10.0.19041.0;net10.0-windows
